2022.06.04 22:27:50 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Starting embedded database on port 9092 with url jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2022.06.04 22:27:50 INFO  web[][o.s.s.p.d.EmbeddedDatabase] Embedded database started. Data stored in: D:\repos\Software-Testing\sonarqube-9.4.0.54424\data
2022.06.04 22:27:50 INFO  web[][o.sonar.db.Database] Create JDBC data source for jdbc:h2:tcp://127.0.0.1:9092/sonar;NON_KEYWORDS=VALUE
2022.06.04 22:27:51 WARN  web[][o.s.db.dialect.H2] H2 database should be used for evaluation purpose only.
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerFileSystemImpl] SonarQube home: D:\repos\Software-Testing\sonarqube-9.4.0.54424
2022.06.04 22:27:53 INFO  web[][o.s.s.u.SystemPasscodeImpl] System authentication by passcode is disabled
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin C# Code Quality and Security / 8.36.1.44192 / 855387dffd60a6e903221a41ff5282452c1b742b
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Configuration detection fot Code Quality and Security / 1.2.0.267 / 4f37ba9ffb37a96d5883e52ad392ed32c5c6eaab
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Flex Code Quality and Security / 2.7.0.2865 / 9e61d9774455b25eefd0b71bf8903cb030641864
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin Go Code Quality and Security / 1.9.0.3429 / faf3c08c0ebf3a877186442cd4a0ddd50de079a8
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin HTML Code Quality and Security / 3.6.0.3106 / 963bdc9f051f5dcb698b418790364231aeea04f2
2022.06.04 22:27:53 INFO  web[][o.s.s.p.ServerPluginManager] Deploy plugin IaC Code Quality and Security / 1.7.0.2012 / a006dbf717537ce3a87bb2b6b088597ead3273d1
